country_code,year,adolescent_fertility,country_name
CHN,1990,23.214,China
CHN,1991,18.812,China
CHN,1992,16.081,China
CHN,1993,13.469,China
CHN,1994,8.754,China
CHN,1995,8.652,China
CHN,1996,7.318,China
CHN,1997,6.427,China
CHN,1998,4.673,China
CHN,1999,6.163,China
CHN,2000,6.444,China
CHN,2001,6.104,China
CHN,2002,6.122,China
CHN,2003,6.459,China
CHN,2004,5.638,China
CHN,2005,6.645,China
CHN,2006,8.5,China
CHN,2007,9.141,China
CHN,2008,11.026,China
CHN,2009,11.994,China
CHN,2010,12.158,China
CHN,2011,11.801,China
CHN,2012,12.534,China
CHN,2013,11.976,China
CHN,2014,12.049,China
CHN,2015,10.887,China
CHN,2016,10.747,China
CHN,2017,10.236,China
CHN,2018,8.691,China
CHN,2019,8.277,China
CHN,2020,6.737,China
CHN,2021,5.996,China
CHN,2022,5.463,China
IDN,1990,74.849,Indonesia
IDN,1991,72.293,Indonesia
IDN,1992,68.456,Indonesia
IDN,1993,65.434,Indonesia
IDN,1994,64.403,Indonesia
IDN,1995,63.923,Indonesia
IDN,1996,61.498,Indonesia
IDN,1997,59.248,Indonesia
IDN,1998,56.663,Indonesia
IDN,1999,54.825,Indonesia
IDN,2000,53.853,Indonesia
IDN,2001,53.016,Indonesia
IDN,2002,51.763,Indonesia
IDN,2003,50.413,Indonesia
IDN,2004,48.211,Indonesia
IDN,2005,48.096,Indonesia
IDN,2006,47.766,Indonesia
IDN,2007,47.667,Indonesia
IDN,2008,46.292,Indonesia
IDN,2009,45.594,Indonesia
IDN,2010,45.68,Indonesia
IDN,2011,45.593,Indonesia
IDN,2012,44.616,Indonesia
IDN,2013,42.675,Indonesia
IDN,2014,40.126,Indonesia
IDN,2015,37.861,Indonesia
IDN,2016,35.356,Indonesia
IDN,2017,32.792,Indonesia
IDN,2018,30.648,Indonesia
IDN,2019,28.876,Indonesia
IDN,2020,27.176,Indonesia
IDN,2021,26.824,Indonesia
IDN,2022,26.581,Indonesia
JPN,1990,3.556,Japan
JPN,1991,3.866,Japan
JPN,1992,4.07,Japan
JPN,1993,4.101,Japan
JPN,1994,4.146,Japan
JPN,1995,4.049,Japan
JPN,1996,4.12,Japan
JPN,1997,4.459,Japan
JPN,1998,4.802,Japan
JPN,1999,5.08,Japan
