country_code,country_name,year,life_expectancy,under5_mortality,adolescent_fertility,demographic_group,decade
CHN,China,1990,68.155,53.6,23.214,Rapidly Aging,1990s
CHN,China,1991,68.61,53.0,18.812,Rapidly Aging,1990s
CHN,China,1992,69.059,52.1,16.081,Rapidly Aging,1990s
CHN,China,1993,69.492,50.8,13.469,Rapidly Aging,1990s
CHN,China,1994,69.835,49.2,8.754,Rapidly Aging,1990s
CHN,China,1995,70.363,47.4,8.652,Rapidly Aging,1990s
CHN,China,1996,70.823,45.5,7.318,Rapidly Aging,1990s
CHN,China,1997,71.227,43.5,6.427,Rapidly Aging,1990s
CHN,China,1998,71.601,41.4,4.673,Rapidly Aging,1990s
CHN,China,1999,71.952,39.1,6.163,Rapidly Aging,1990s
CHN,China,2000,72.288,36.6,6.444,Rapidly Aging,2000s
CHN,China,2001,72.675,34.1,6.104,Rapidly Aging,2000s
CHN,China,2002,73.034,31.4,6.122,Rapidly Aging,2000s
CHN,China,2003,73.385,28.8,6.459,Rapidly Aging,2000s
CHN,China,2004,73.727,26.3,5.638,Rapidly Aging,2000s
CHN,China,2005,74.085,24.0,6.645,Rapidly Aging,2000s
CHN,China,2006,74.404,21.9,8.5,Rapidly Aging,2000s
CHN,China,2007,74.789,20.1,9.141,Rapidly Aging,2000s
CHN,China,2008,74.833,18.5,11.026,Rapidly Aging,2000s
CHN,China,2009,75.317,17.1,11.994,Rapidly Aging,2000s
CHN,China,2010,75.668,15.7,12.158,Rapidly Aging,2010s
CHN,China,2011,75.889,14.6,11.801,Rapidly Aging,2010s
CHN,China,2012,76.2,13.5,12.534,Rapidly Aging,2010s
CHN,China,2013,76.452,12.5,11.976,Rapidly Aging,2010s
CHN,China,2014,76.714,11.6,12.049,Rapidly Aging,2010s
CHN,China,2015,76.975,10.7,10.887,Rapidly Aging,2010s
CHN,China,2016,77.214,10.0,10.747,Rapidly Aging,2010s
CHN,China,2017,77.235,9.3,10.236,Rapidly Aging,2010s
CHN,China,2018,77.709,8.6,8.691,Rapidly Aging,2010s
CHN,China,2019,77.94,8.0,8.277,Rapidly Aging,2010s
CHN,China,2020,78.019,7.5,6.737,Rapidly Aging,2020s
CHN,China,2021,78.117,7.0,5.996,Rapidly Aging,2020s
CHN,China,2022,78.202,6.6,5.463,Rapidly Aging,2020s
IDN,Indonesia,1990,63.249,83.2,74.849,Young Economy,1990s
IDN,Indonesia,1991,63.703,79.4,72.293,Young Economy,1990s
IDN,Indonesia,1992,64.182,75.8,68.456,Young Economy,1990s
IDN,Indonesia,1993,64.851,72.2,65.434,Young Economy,1990s
IDN,Indonesia,1994,65.041,68.8,64.403,Young Economy,1990s
IDN,Indonesia,1995,65.263,65.5,63.923,Young Economy,1990s
IDN,Indonesia,1996,65.465,62.4,61.498,Young Economy,1990s
IDN,Indonesia,1997,65.774,59.4,59.248,Young Economy,1990s
IDN,Indonesia,1998,65.942,56.6,56.663,Young Economy,1990s
IDN,Indonesia,1999,66.001,53.9,54.825,Young Economy,1990s
IDN,Indonesia,2000,66.292,51.4,53.853,Young Economy,2000s
IDN,Indonesia,2001,66.583,49.0,53.016,Young Economy,2000s
IDN,Indonesia,2002,66.954,46.7,51.763,Young Economy,2000s
IDN,Indonesia,2003,67.134,44.6,50.413,Young Economy,2000s
IDN,Indonesia,2004,65.521,48.6,48.211,Young Economy,2000s
IDN,Indonesia,2005,67.531,40.7,48.096,Young Economy,2000s
IDN,Indonesia,2006,67.664,38.9,47.766,Young Economy,2000s
IDN,Indonesia,2007,67.914,37.2,47.667,Young Economy,2000s
IDN,Indonesia,2008,68.085,35.6,46.292,Young Economy,2000s
IDN,Indonesia,2009,68.267,34.1,45.594,Young Economy,2000s
IDN,Indonesia,2010,68.364,32.6,45.68,Young Economy,2010s
IDN,Indonesia,2011,68.629,31.2,45.593,Young Economy,2010s
IDN,Indonesia,2012,68.862,29.9,44.616,Young Economy,2010s
IDN,Indonesia,2013,69.064,28.6,42.675,Young Economy,2010s
IDN,Indonesia,2014,69.292,27.3,40.126,Young Economy,2010s
IDN,Indonesia,2015,69.52,26.1,37.861,Young Economy,2010s
IDN,Indonesia,2016,69.733,25.0,35.356,Young Economy,2010s
IDN,Indonesia,2017,69.953,23.8,32.792,Young Economy,2010s
IDN,Indonesia,2018,70.08,22.8,30.648,Young Economy,2010s
IDN,Indonesia,2019,70.349,21.8,28.876,Young Economy,2010s
IDN,Indonesia,2020,68.817,20.8,27.176,Young Economy,2020s
IDN,Indonesia,2021,67.452,19.9,26.824,Young Economy,2020s
IDN,Indonesia,2022,70.925,19.1,26.581,Young Economy,2020s
JPN,Japan,1990,78.8370731707317,6.3,3.556,Aged Economy,1990s
JPN,Japan,1991,79.0368292682927,6.2,3.866,Aged Economy,1990s
JPN,Japan,1992,79.080243902439,6.1,4.07,Aged Economy,1990s
JPN,Japan,1993,79.3036585365854,6.0,4.101,Aged Economy,1990s
JPN,Japan,1994,79.6968292682927,5.9,4.146,Aged Economy,1990s
JPN,Japan,1995,79.5360975609756,5.7,4.049,Aged Economy,1990s
JPN,Japan,1996,80.219756097561,5.5,4.12,Aged Economy,1990s
JPN,Japan,1997,80.4241463414634,5.2,4.459,Aged Economy,1990s
JPN,Japan,1998,80.5014634146342,5.0,4.802,Aged Economy,1990s
JPN,Japan,1999,80.4609756097561,4.7,5.08,Aged Economy,1990s
JPN,Japan,2000,81.0760975609756,4.5,5.532,Aged Economy,2000s
JPN,Japan,2001,81.4163414634146,4.3,5.972,Aged Economy,2000s
JPN,Japan,2002,81.6907317073171,4.1,6.225,Aged Economy,2000s
JPN,Japan,2003,81.76,4.0,5.982,Aged Economy,2000s
JPN,Japan,2004,82.030243902439,3.9,5.775,Aged Economy,2000s
JPN,Japan,2005,81.9551219512195,3.7,5.367,Aged Economy,2000s
JPN,Japan,2006,82.3219512195122,3.6,5.246,Aged Economy,2000s
JPN,Japan,2007,82.5070731707317,3.5,5.145,Aged Economy,2000s
JPN,Japan,2008,82.5875609756098,3.4,5.168,Aged Economy,2000s
JPN,Japan,2009,82.9314634146342,3.4,4.914,Aged Economy,2000s
JPN,Japan,2010,82.8426829268293,3.3,4.603,Aged Economy,2010s
JPN,Japan,2011,82.5912195121951,3.3,4.477,Aged Economy,2010s
JPN,Japan,2012,83.0960975609756,3.1,4.332,Aged Economy,2010s
JPN,Japan,2013,83.3319512195122,3.0,4.361,Aged Economy,2010s
JPN,Japan,2014,83.5878048780488,2.9,4.325,Aged Economy,2010s
JPN,Japan,2015,83.7939024390244,2.8,4.04,Aged Economy,2010s
JPN,Japan,2016,83.9848780487805,2.7,3.75,Aged Economy,2010s
