country_code,year,under5_mortality,country_name
CHN,1990,53.6,China
CHN,1991,53.0,China
CHN,1992,52.1,China
CHN,1993,50.8,China
CHN,1994,49.2,China
CHN,1995,47.4,China
CHN,1996,45.5,China
CHN,1997,43.5,China
CHN,1998,41.4,China
CHN,1999,39.1,China
CHN,2000,36.6,China
CHN,2001,34.1,China
CHN,2002,31.4,China
CHN,2003,28.8,China
CHN,2004,26.3,China
CHN,2005,24.0,China
CHN,2006,21.9,China
CHN,2007,20.1,China
CHN,2008,18.5,China
CHN,2009,17.1,China
CHN,2010,15.7,China
CHN,2011,14.6,China
CHN,2012,13.5,China
CHN,2013,12.5,China
CHN,2014,11.6,China
CHN,2015,10.7,China
CHN,2016,10.0,China
CHN,2017,9.3,China
CHN,2018,8.6,China
CHN,2019,8.0,China
CHN,2020,7.5,China
CHN,2021,7.0,China
CHN,2022,6.6,China
IDN,1990,83.2,Indonesia
IDN,1991,79.4,Indonesia
IDN,1992,75.8,Indonesia
IDN,1993,72.2,Indonesia
IDN,1994,68.8,Indonesia
IDN,1995,65.5,Indonesia
IDN,1996,62.4,Indonesia
IDN,1997,59.4,Indonesia
IDN,1998,56.6,Indonesia
IDN,1999,53.9,Indonesia
IDN,2000,51.4,Indonesia
IDN,2001,49.0,Indonesia
IDN,2002,46.7,Indonesia
IDN,2003,44.6,Indonesia
IDN,2004,48.6,Indonesia
IDN,2005,40.7,Indonesia
IDN,2006,38.9,Indonesia
IDN,2007,37.2,Indonesia
IDN,2008,35.6,Indonesia
IDN,2009,34.1,Indonesia
IDN,2010,32.6,Indonesia
IDN,2011,31.2,Indonesia
IDN,2012,29.9,Indonesia
IDN,2013,28.6,Indonesia
IDN,2014,27.3,Indonesia
IDN,2015,26.1,Indonesia
IDN,2016,25.0,Indonesia
IDN,2017,23.8,Indonesia
IDN,2018,22.8,Indonesia
IDN,2019,21.8,Indonesia
IDN,2020,20.8,Indonesia
IDN,2021,19.9,Indonesia
IDN,2022,19.1,Indonesia
JPN,1990,6.3,Japan
JPN,1991,6.2,Japan
JPN,1992,6.1,Japan
JPN,1993,6.0,Japan
JPN,1994,5.9,Japan
JPN,1995,5.7,Japan
JPN,1996,5.5,Japan
JPN,1997,5.2,Japan
JPN,1998,5.0,Japan
JPN,1999,4.7,Japan
JPN,2000,4.5,Japan
JPN,2001,4.3,Japan
JPN,2002,4.1,Japan
JPN,2003,4.0,Japan
JPN,2004,3.9,Japan
JPN,2005,3.7,Japan
JPN,2006,3.6,Japan
JPN,2007,3.5,Japan
JPN,2008,3.4,Japan
JPN,2009,3.4,Japan
JPN,2010,3.3,Japan
JPN,2011,3.3,Japan
JPN,2012,3.1,Japan
JPN,2013,3.0,Japan
JPN,2014,2.9,Japan
JPN,2015,2.8,Japan
JPN,2016,2.7,Japan
JPN,2017,2.6,Japan
JPN,2018,2.5,Japan
JPN,2019,2.5,Japan
JPN,2020,2.4,Japan
JPN,2021,2.4,Japan
JPN,2022,2.4,Japan
KOR,1990,15.7,South Korea
KOR,1991,14.5,South Korea
KOR,1992,13.3,South Korea
KOR,1993,12.3,South Korea
KOR,1994,11.4,South Korea
KOR,1995,10.5,South Korea
KOR,1996,9.8,South Korea
KOR,1997,9.1,South Korea
KOR,1998,8.5,South Korea
KOR,1999,8.0,South Korea
KOR,2000,7.6,South Korea
KOR,2001,7.2,South Korea
KOR,2002,6.8,South Korea
KOR,2003,6.4,South Korea
KOR,2004,6.0,South Korea
KOR,2005,5.6,South Korea
KOR,2006,5.2,South Korea
KOR,2007,4.8,South Korea
KOR,2008,4.5,South Korea
KOR,2009,4.3,South Korea
KOR,2010,4.1,South Korea
KOR,2011,4.0,South Korea
KOR,2012,3.8,South Korea
KOR,2013,3.7,South Korea
KOR,2014,3.6,South Korea
KOR,2015,3.5,South Korea
KOR,2016,3.4,South Korea
KOR,2017,3.3,South Korea
KOR,2018,3.2,South Korea
KOR,2019,3.1,South Korea
KOR,2020,3.1,South Korea
KOR,2021,3.0,South Korea
KOR,2022,2.9,South Korea
SGP,1990,7.7,Singapore
SGP,1991,6.9,Singapore
SGP,1992,6.3,Singapore
SGP,1993,5.8,Singapore
SGP,1994,5.4,Singapore
SGP,1995,5.1,Singapore
SGP,1996,4.8,Singapore
SGP,1997,4.6,Singapore
SGP,1998,4.3,Singapore
SGP,1999,4.1,Singapore
SGP,2000,3.9,Singapore
SGP,2001,3.6,Singapore
SGP,2002,3.4,Singapore
SGP,2003,3.2,Singapore
SGP,2004,3.1,Singapore
SGP,2005,3.0,Singapore
SGP,2006,2.9,Singapore
SGP,2007,2.9,Singapore
SGP,2008,2.8,Singapore
SGP,2009,2.8,Singapore
SGP,2010,2.8,Singapore
SGP,2011,2.8,Singapore
SGP,2012,2.8,Singapore
SGP,2013,2.8,Singapore
SGP,2014,2.7,Singapore
SGP,2015,2.7,Singapore
SGP,2016,2.6,Singapore
SGP,2017,2.6,Singapore
SGP,2018,2.5,Singapore
SGP,2019,2.5,Singapore
SGP,2020,2.4,Singapore
SGP,2021,2.4,Singapore
SGP,2022,2.5,Singapore
THA,1990,36.9,Thailand
THA,1991,34.8,Thailand
THA,1992,32.9,Thailand
THA,1993,31.1,Thailand
THA,1994,29.5,Thailand
THA,1995,28.0,Thailand
THA,1996,26.6,Thailand
THA,1997,25.2,Thailand
THA,1998,24.0,Thailand
THA,1999,22.8,Thailand
THA,2000,21.7,Thailand
THA,2001,20.7,Thailand
THA,2002,19.7,Thailand
THA,2003,18.9,Thailand
THA,2004,18.0,Thailand
THA,2005,17.2,Thailand
THA,2006,16.5,Thailand
THA,2007,15.9,Thailand
THA,2008,15.2,Thailand
THA,2009,14.7,Thailand
THA,2010,14.1,Thailand
THA,2011,13.6,Thailand
THA,2012,13.1,Thailand
THA,2013,12.7,Thailand
THA,2014,12.3,Thailand
THA,2015,11.9,Thailand
THA,2016,11.5,Thailand
THA,2017,11.1,Thailand
THA,2018,10.8,Thailand
THA,2019,10.4,Thailand
THA,2020,10.1,Thailand
THA,2021,9.8,Thailand
THA,2022,9.5,Thailand
USA,1990,11.2,United States
USA,1991,10.9,United States
USA,1992,10.5,United States
USA,1993,10.1,United States
USA,1994,9.8,United States
USA,1995,9.5,United States
USA,1996,9.2,United States
USA,1997,8.9,United States
USA,1998,8.7,United States
USA,1999,8.6,United States
USA,2000,8.4,United States
USA,2001,8.3,United States
USA,2002,8.2,United States
USA,2003,8.1,United States
USA,2004,8.1,United States
USA,2005,8.0,United States
USA,2006,7.9,United States
USA,2007,7.7,United States
USA,2008,7.6,United States
USA,2009,7.5,United States
USA,2010,7.3,United States
USA,2011,7.2,United States
USA,2012,7.0,United States
USA,2013,6.9,United States
USA,2014,6.8,United States
USA,2015,6.8,United States
USA,2016,6.7,United States
USA,2017,6.6,United States
USA,2018,6.5,United States
USA,2019,6.5,United States
USA,2020,6.5,United States
USA,2021,6.5,United States
USA,2022,6.5,United States
VNM,1990,51.6,Vietnam
VNM,1991,49.1,Vietnam
VNM,1992,46.6,Vietnam
VNM,1993,44.1,Vietnam
VNM,1994,41.7,Vietnam
VNM,1995,39.4,Vietnam
VNM,1996,37.2,Vietnam
VNM,1997,35.2,Vietnam
VNM,1998,33.4,Vietnam
VNM,1999,31.8,Vietnam
VNM,2000,30.3,Vietnam
VNM,2001,29.0,Vietnam
VNM,2002,27.9,Vietnam
VNM,2003,26.9,Vietnam
VNM,2004,26.1,Vietnam
VNM,2005,25.4,Vietnam
VNM,2006,24.8,Vietnam
VNM,2007,24.3,Vietnam
VNM,2008,23.8,Vietnam
VNM,2009,23.4,Vietnam
VNM,2010,23.1,Vietnam
VNM,2011,22.8,Vietnam
VNM,2012,22.5,Vietnam
VNM,2013,22.3,Vietnam
VNM,2014,22.0,Vietnam
VNM,2015,21.6,Vietnam
VNM,2016,21.3,Vietnam
VNM,2017,20.9,Vietnam
VNM,2018,20.5,Vietnam
VNM,2019,20.0,Vietnam
VNM,2020,19.5,Vietnam
VNM,2021,18.9,Vietnam
VNM,2022,18.4,Vietnam
